video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=DJwkmc2Ihaw&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@DatingBeyondBorders,Dating Beyond Borders,Culture Shocks From Living in Mexico? (CDMX),121K,1 year,What are biggest culture shocks that foreigners experience living in Mexico and specifically in Mexico City? I ask people on the ...,2026-01-22 00:15:52.099131
/shorts/xviy-HXi5Zc,/@TMCKIDsNetwork0302,TMC KIDs Network,Mexico Culture | Facts about Mexico #latino #mexican #culture #mexico,1.7K,1 year,Rich history and culture that dates back thousands of years Mexico is a land of extremes with its geographical qualities diverse ...,2026-01-22 00:15:52.100709
/shorts/mTmXrtKbKLI,/@apopofficial,A*Pop,Asian and Mexican Culture Connection | A*Pop,4.9K,5 months,"rip toriyama, the great connector Original video by https://www.tiktok.com/@hammyyou — Subscribe: ...",2026-01-22 00:16:00.737758
/shorts/deC_hiyqdiQ,/@TheHalfieProject,The Halfie Project,The Sad History of Koreans in Mexico #Aenikkaeng,3.1M,2 years,"In 1905, approximately one thousand Korean migrant workers boarded a ship to Mexico with a promise for a bright future, only to ...",2026-01-22 00:16:00.738500
/shorts/rkF_kgKKZkc,/@LiveAndWorkMexico,Mexico Executive Spanish,Mexican Spanish Vs Filipino 🇲🇽🇵🇭 Have many words similar to Spanish  #learningspanish,1.9M,1 year,Spanish from Mexico versus filipino from filipin How do you say filipino t Okay mundo mundo Ajá guapo guapo cuchara cuchara ...,2026-01-22 00:16:00.739289
/watch?v=3ZqWF6oJWVk&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@MacraeXL,Macrae XL,22 Crazy Myths About Mexico (Americans Believe),84K,5 months,"In this video, I'm breaking down 22 of the most common myths about Mexico that Americans still believe in 2025. Some of it's ...",2026-01-22 00:16:00.740077
/shorts/O57r7g_i1iI,/@Mindworks_360,Mindworks360,5 fascinating facts about Mexican culture you probably didn’t know!,196,5 months,"Discover the heart of Mexico! From Day of the Dead to UNESCO-recognized food, here are 5 fascinating facts about Mexican ...",2026-01-22 00:16:00.740815
/shorts/uhaF3K1-NpM,/@TheCrazyGorilla,TheCrazyGorilla,When MEXICANS Sell FOOD 😂,81M,11 months,Featuring @kianalbandi Inspired by @StevenHe.,2026-01-22 00:16:00.742590
/shorts/ppK8a-hvojE,/@CrazyCultures,Crazy Cultures,🎉🕯️ Mind-Blowing Mexican Traditions You Need to Know! #MexicanCulture #Traditions #MustSee,2.8K,1 year,Discover three of Mexico's most incredible traditions that will leave you amazed! From the vibrant Day of the Dead to the ancient ...,2026-01-22 00:16:00.743481
/shorts/OG7ETh9TxzI,/@30SecondHstory,30 Second History ,The Aztecs Did NOT Exist #history #aztec #mexico,989K,8 months,The Aztecs didn't exist.” That's what historian Dr. Roy Casagranda reveals in this eye-opening 30-second history short.,2026-01-22 00:16:00.744221
/watch?v=Be3kNAbl1Eg&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@PeterSantenello,Peter Santenello,Inside Chicano Culture - East LA 🇺🇸🇲🇽,9.2M,3 years,"Join me as we dive deep into the Chicano culture of East LA. Here we discover lowrider culture, delicious food, and stimulating ...",2026-01-22 00:16:00.744983
/watch?v=futOnEty9DE&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@globedaddy,Globe Daddy ,Mexico's Obsession With White People,93K,2 years,"... in Mexico for nearly 2 whole years as an American. mexico,mexican,mexican culture,globe daddy,globedaddy,whitemexicans ...",2026-01-22 00:16:00.746929
/shorts/BAKPA0Ju1IQ,/@MexicoRelocationGuide,Mexico Relocation Guide,Embracing Mexican Culture As An Expat in Mexico,2K,1 year,Get our FREE guide on moving to Mexico mexicorelocationguide.com/lp-retire-in-mexico Learning how to accept Mexican cultural ...,2026-01-22 00:16:00.747718
/watch?v=2Gl7q0vbuK0&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@DharMann,Dhar Mann Studios,"Son Hates His Mexican Culture, Friend Teaches Him A Lesson | Dhar Mann",17M,5 years,MOBILE APP ⚑ App Store = https://apple.co/3nhvjap Google Play = https://bit.ly/3DRzS1I Don't forget to SUBSCRIBE to my ...,2026-01-22 00:16:00.750651
